gid,region_id,region_name
E14000530,E12000008,South East
E14000730,E12000003,Yorkshire and The Humber
E14000580,E12000002,North West
E14000531,E12000005,West Midlands
E14000581,E12000002,North West
E14000731,E12000007,London
E14000532,E12000002,North West
E14000582,E12000004,East Midlands
E14000732,E12000007,London
E14000533,E12000004,East Midlands
E14000583,E12000004,East Midlands
E14000733,E12000001,North East
E14000534,E12000008,South East
E14000584,E12000009,South West
E14000734,E12000006,Eastern
E14000535,E12000004,East Midlands
E14000585,E12000009,South West
E14000735,E12000008,South East
E14000536,E12000008,South East
E14000586,E12000008,South East
E14000736,E12000008,South East
E14000537,E12000002,North West
E14000587,E12000003,Yorkshire and The Humber
E14000737,E12000007,London
E14000538,E12000008,South East
E14000588,E12000003,Yorkshire and The Humber
E14000738,E12000002,North West
E14000539,E12000008,South East
E14000589,E12000003,Yorkshire and The Humber
E14000739,E12000006,Eastern
E14000540,E12000007,London
E14000590,E12000006,Eastern
E14000740,E12000003,Yorkshire and The Humber
E14000541,E12000003,Yorkshire and The Humber
E14000591,E12000007,London
E14000741,E12000007,London
E14000542,E12000003,Yorkshire and The Humber
E14000592,E12000007,London
E14000742,E12000008,South East
E14000543,E12000002,North West
E14000593,E12000007,London
E14000743,E12000005,West Midlands
E14000544,E12000006,Eastern
E14000594,E12000006,Eastern
E14000744,E12000006,Eastern
E14000545,E12000008,South East
E14000595,E12000009,South West
E14000745,E12000006,Eastern
E14000546,E12000004,East Midlands
E14000596,E12000003,Yorkshire and The Humber
E14000746,E12000001,North East
E14000547,E12000009,South West
E14000597,E12000008,South East
E14000747,E12000002,North West
E14000548,E12000003,Yorkshire and The Humber
E14000598,E12000008,South East
E14000748,E12000004,East Midlands
E14000549,E12000007,London
E14000599,E12000009,South West
E14000749,E12000006,Eastern
E14000550,E12000008,South East
E14000600,E12000009,South West
E14000750,E12000007,London
E14000551,E12000007,London
E14000601,E12000009,South West
E14000751,E12000007,London
E14000552,E12000006,Eastern
E14000602,E12000009,South West
E14000780,E12000003,Yorkshire and The Humber
E14000752,E12000007,London
E14000753,E12000008,South East
E14000754,E12000001,North East
E14000755,E12000008,South East
E14000756,E12000003,Yorkshire and The Humber
E14000757,E12000006,Eastern
E14000758,E12000002,North West
E14000759,E12000007,London
E14000760,E12000007,London
E14000761,E12000006,Eastern
E14000762,E12000008,South East
E14000763,E12000007,London
E14000764,E12000007,London
E14000765,E12000001,North East
E14000766,E12000003,Yorkshire and The Humber
E14000767,E12000005,West Midlands
E14000768,E12000007,London
E14000769,E12000004,East Midlands
E14000770,E12000007,London
E14000771,E12000003,Yorkshire and The Humber
E14000772,E12000003,Yorkshire and The Humber
E14000773,E12000003,Yorkshire and The Humber
E14000774,E12000009,South West
E14000775,E12000002,North West
E14000776,E12000002,North West
E14000777,E12000003,Yorkshire and The Humber
E14000778,E12000003,Yorkshire and The Humber
E14000779,E12000003,Yorkshire and The Humber
E14000630,E12000009,South West
E14000781,E12000003,Yorkshire and The Humber
E14000603,E12000006,Eastern
E14000553,E12000007,London
E14000782,E12000004,East Midlands
E14000631,E12000008,South East
E14000604,E12000007,London
E14000554,E12000001,North East
E14000783,E12000004,East Midlands
E14000632,E12000004,East Midlands
E14000605,E12000005,West Midlands
E14000555,E12000007,London
E14000784,E12000004,East Midlands
E14000633,E12000008,South East
E14000606,E12000006,Eastern
E14000556,E12000003,Yorkshire and The Humber
E14000785,E12000002,North West
E14000634,E12000007,London
E14000607,E12000004,East Midlands
E14000557,E12000008,South East
E14000786,E12000008,South East
E14000635,E12000009,South West
E14000608,E12000008,South East
E14000558,E12000007,London
E14000787,E12000007,London
E14000636,E12000007,London
E14000609,E12000002,North West
E14000559,E12000002,North West
E14000788,E12000007,London
E14000637,E12000002,North West
E14000610,E12000005,West Midlands
E14000560,E12000005,West Midlands
E14000789,E12000007,London
E14000638,E12000009,South West
E14000611,E12000002,North West
E14000561,E12000005,West Midlands
E14000790,E12000007,London
E14000791,E12000005,West Midlands
E14000792,E12000004,East Midlands
E14000793,E12000002,North West
E14000794,E12000002,North West
E14000795,E12000002,North West
E14000796,E12000002,North West
E14000797,E12000004,East Midlands
E14000798,E12000004,East Midlands
E14000799,E12000005,West Midlands
E14000800,E12000006,Eastern
E14000801,E12000006,Eastern
E14000802,E12000002,North West
E14000803,E12000008,South East
E14000804,E12000008,South East
E14000805,E12000002,North West
E14000806,E12000006,Eastern
E14000807,E12000002,North West
E14000808,E12000002,North West
E14000809,E12000002,North West
E14000810,E12000004,East Midlands
E14000811,E12000008,South East
E14000812,E12000005,West Midlands
E14000813,E12000006,Eastern
E14000814,E12000004,East Midlands
E14000815,E12000009,South West
E14000816,E12000006,Eastern
E14000817,E12000008,South East
E14000818,E12000005,West Midlands
E14000819,E12000001,North East
E14000820,E12000001,North East
E14000821,E12000008,South East
E14000822,E12000008,South East
E14000823,E12000007,London
E14000824,E12000008,South East
E14000825,E12000002,North West
E14000826,E12000003,Yorkshire and The Humber
E14000827,E12000008,South East
E14000828,E12000008,South East
E14000829,E12000004,East Midlands
E14000639,E12000007,London
E14000640,E12000002,North West
E14000641,E12000001,North East
E14000642,E12000006,Eastern
E14000643,E12000003,Yorkshire and The Humber
E14000644,E12000006,Eastern
E14000645,E12000003,Yorkshire and The Humber
E14000646,E12000002,North West
E14000612,E12000002,North West
E14000647,E12000002,North West
E14000613,E12000006,Eastern
E14000648,E12000004,East Midlands
E14000614,E12000003,Yorkshire and The Humber
E14000649,E12000005,West Midlands
E14000615,E12000007,London
E14000562,E12000005,West Midlands
E14000650,E12000005,West Midlands
E14000616,E12000009,South West
E14000563,E12000005,West Midlands
E14000651,E12000005,West Midlands
E14000617,E12000006,Eastern
E14000680,E12000008,South East
E14000564,E12000005,West Midlands
E14000652,E12000008,South East
E14000618,E12000005,West Midlands
E14000619,E12000008,South East
E14000620,E12000002,North West
E14000621,E12000007,London
E14000622,E12000006,Eastern
E14000623,E12000009,South West
E14000624,E12000006,Eastern
E14000625,E12000004,East Midlands
E14000626,E12000008,South East
E14000627,E12000002,North West
E14000628,E12000006,Eastern
E14000629,E12000007,London
E14000681,E12000008,South East
E14000565,E12000005,West Midlands
E14000653,E12000002,North West
E14000682,E12000008,South East
E14000566,E12000005,West Midlands
E14000654,E12000007,London
E14000683,E12000003,Yorkshire and The Humber
E14000567,E12000005,West Midlands
E14000655,E12000007,London
E14000684,E12000008,South East
E14000568,E12000005,West Midlands
E14000656,E12000007,London
E14000880,E12000009,South West
E14000685,E12000008,South East
E14000569,E12000001,North East
E14000657,E12000007,London
E14000881,E12000009,South West
E14000686,E12000002,North West
E14000570,E12000002,North West
E14000658,E12000001,North East
E14000882,E12000007,London
E14000687,E12000007,London
E14000571,E12000002,North West
E14000659,E12000008,South East
E14000883,E12000008,South East
E14000688,E12000002,North West
E14000572,E12000002,North West
E14000660,E12000004,East Midlands
E14000884,E12000008,South East
E14000689,E12000003,Yorkshire and The Humber
E14000573,E12000002,North West
E14000661,E12000002,North West
E14000885,E12000002,North West
E14000690,E12000007,London
E14000574,E12000001,North East
E14000662,E12000004,East Midlands
E14000886,E12000003,Yorkshire and The Humber
E14000691,E12000007,London
E14000575,E12000001,North East
E14000663,E12000004,East Midlands
E14000887,E12000007,London
E14000692,E12000007,London
E14000576,E12000008,South East
E14000664,E12000004,East Midlands
E14000888,E12000006,Eastern
E14000693,E12000006,Eastern
E14000577,E12000004,East Midlands
E14000665,E12000009,South West
E14000889,E12000008,South East
E14000694,E12000008,South East
E14000578,E12000002,North West
E14000666,E12000003,Yorkshire and The Humber
E14000890,E12000008,South East
E14000695,E12000004,East Midlands
E14000579,E12000002,North West
E14000830,E12000008,South East
E14000667,E12000003,Yorkshire and The Humber
E14000891,E12000001,North East
E14000668,E12000003,Yorkshire and The Humber
E14000696,E12000007,London
E14000892,E12000005,West Midlands
E14000669,E12000003,Yorkshire and The Humber
E14000697,E12000008,South East
E14000893,E12000008,South East
E14000670,E12000008,South East
E14000698,E12000009,South West
E14000894,E12000002,North West
E14000671,E12000005,West Midlands
E14000699,E12000008,South East
E14000895,E12000003,Yorkshire and The Humber
E14000672,E12000005,West Midlands
E14000700,E12000008,South East
E14000896,E12000007,London
E14000673,E12000007,London
E14000701,E12000007,London
E14000897,E12000002,North West
E14000674,E12000007,London
E14000831,E12000001,North East
E14000702,E12000009,South West
E14000898,E12000008,South East
E14000675,E12000007,London
E14000832,E12000001,North East
E14000703,E12000007,London
E14000899,E12000006,Eastern
E14000676,E12000007,London
E14000833,E12000001,North East
E14000704,E12000008,South East
E14000900,E12000007,London
E14000677,E12000001,North East
E14000834,E12000005,West Midlands
E14000705,E12000009,South West
E14000901,E12000008,South East
E14000678,E12000009,South West
E14000835,E12000009,South West
E14000706,E12000002,North West
E14000902,E12000002,North West
E14000679,E12000007,London
E14000836,E12000003,Yorkshire and The Humber
E14000707,E12000004,East Midlands
E14000903,E12000003,Yorkshire and The Humber
E14000837,E12000009,South West
E14000708,E12000002,North West
E14000904,E12000003,Yorkshire and The Humber
E14000838,E12000009,South West
E14000709,E12000001,North East
E14000905,E12000005,West Midlands
E14000839,E12000009,South West
E14000710,E12000004,East Midlands
E14000906,E12000007,London
E14000840,E12000001,North East
E14000711,E12000008,South East
E14000907,E12000008,South East
E14000841,E12000006,Eastern
E14000712,E12000009,South West
E14000908,E12000004,East Midlands
E14000842,E12000006,Eastern
E14000713,E12000008,South East
E14000909,E12000004,East Midlands
E14000910,E12000006,Eastern
E14000911,E12000002,North West
E14000912,E12000009,South West
E14000913,E12000003,Yorkshire and The Humber
E14000914,E12000003,Yorkshire and The Humber
E14000915,E12000001,North East
E14000916,E12000002,North West
E14000917,E12000003,Yorkshire and The Humber
E14000918,E12000008,South East
E14000919,E12000003,Yorkshire and The Humber
E14000920,E12000003,Yorkshire and The Humber
E14000921,E12000003,Yorkshire and The Humber
E14000922,E12000003,Yorkshire and The Humber
E14000923,E12000003,Yorkshire and The Humber
E14000924,E12000004,East Midlands
E14000925,E12000003,Yorkshire and The Humber
E14000926,E12000005,West Midlands
E14000927,E12000008,South East
E14000928,E12000003,Yorkshire and The Humber
E14000929,E12000004,East Midlands
E14000843,E12000004,East Midlands
E14000844,E12000008,South East
E14000714,E12000004,East Midlands
E14000845,E12000006,Eastern
E14000715,E12000008,South East
E14000846,E12000009,South West
E14000716,E12000003,Yorkshire and The Humber
E14000847,E12000005,West Midlands
E14000717,E12000006,Eastern
E14000848,E12000006,Eastern
E14000718,E12000007,London
E14000849,E12000005,West Midlands
E14000719,E12000008,South East
E14000850,E12000009,South West
E14000720,E12000007,London
E14000851,E12000009,South West
E14000721,E12000007,London
E14000852,E12000008,South East
E14000722,E12000005,West Midlands
E14000853,E12000001,North East
E14000723,E12000003,Yorkshire and The Humber
E14000854,E12000005,West Midlands
E14000724,E12000003,Yorkshire and The Humber
E14000855,E12000006,Eastern
E14000725,E12000002,North West
E14000856,E12000001,North East
E14000726,E12000007,London
E14000857,E12000008,South East
E14000727,E12000007,London
E14000858,E12000004,East Midlands
E14000728,E12000004,East Midlands
E14000859,E12000006,Eastern
E14000729,E12000006,Eastern
E14000860,E12000009,South West
E14000861,E12000004,East Midlands
E14000862,E12000004,East Midlands
E14000863,E12000006,Eastern
E14000864,E12000006,Eastern
E14000865,E12000004,East Midlands
E14000866,E12000004,East Midlands
E14000867,E12000004,East Midlands
E14000868,E12000005,West Midlands
E14000869,E12000007,London
E14000870,E12000002,North West
E14000871,E12000002,North West
E14000872,E12000007,London
E14000873,E12000008,South East
E14000874,E12000008,South East
E14000875,E12000002,North West
E14000876,E12000003,Yorkshire and The Humber
E14000877,E12000002,North West
E14000878,E12000006,Eastern
E14000879,E12000009,South West
E14000930,E12000008,South East
E14000931,E12000005,West Midlands
E14000980,E12000009,South West
E14000932,E12000009,South West
E14000933,E12000006,Eastern
E14000934,E12000006,Eastern
E14000981,E12000006,Eastern
S14000050,S92000003,Scotland
E14000935,E12000004,East Midlands
E14000982,E12000001,North East
S14000051,S92000003,Scotland
E14000936,E12000009,South West
E14001030,E12000005,West Midlands
E14000983,E12000008,South East
S14000052,S92000003,Scotland
E14000937,E12000006,Eastern
E14001031,E12000009,South West
E14000984,E12000007,London
S14000053,S92000003,Scotland
E14000938,E12000009,South West
E14001032,E12000007,London
E14000985,E12000005,West Midlands
S14000054,S92000003,Scotland
E14000939,E12000004,East Midlands
E14001033,E12000002,North West
E14000986,E12000005,West Midlands
S14000055,S92000003,Scotland
E14000940,E12000004,East Midlands
E14001034,E12000006,Eastern
E14000987,E12000002,North West
S14000056,S92000003,Scotland
E14000941,E12000006,Eastern
E14001035,E12000005,West Midlands
E14000988,E12000009,South West
S14000057,S92000003,Scotland
E14000942,E12000004,East Midlands
E14001036,E12000007,London
E14000989,E12000005,West Midlands
S14000058,S92000003,Scotland
E14000943,E12000002,North West
E14001037,E12000002,North West
E14000990,E12000009,South West
S14000059,S92000003,Scotland
E14000944,E12000001,North East
E14001038,E12000009,South West
E14000991,E12000009,South West
W07000041,W92000004,Wales
E14000945,E12000005,West Midlands
E14001039,E12000002,North West
E14000992,E12000005,West Midlands
W07000042,W92000004,Wales
E14001040,E12000007,London
E14000946,E12000006,Eastern
E14001041,E12000008,South East
E14000993,E12000003,Yorkshire and The Humber
E14001042,E12000008,South East
N06000018,N07000001,Northern Ireland
E14000947,E12000009,South West
W07000043,W92000004,Wales
E14001043,E12000002,North West
E14000948,E12000008,South East
S14000001,S92000003,Scotland
E14000994,E12000009,South West
W07000044,W92000004,Wales
E14001044,E12000002,North West
E14000949,E12000006,Eastern
S14000002,S92000003,Scotland
E14000995,E12000006,Eastern
W07000045,W92000004,Wales
E14001045,E12000006,Eastern
E14000950,E12000009,South West
S14000003,S92000003,Scotland
E14000996,E12000009,South West
W07000046,W92000004,Wales
E14001046,E12000008,South East
E14000951,E12000006,Eastern
S14000004,S92000003,Scotland
E14000997,E12000008,South East
W07000047,W92000004,Wales
E14001047,E12000008,South East
E14000952,E12000006,Eastern
S14000005,S92000003,Scotland
E14000998,E12000007,London
W07000048,W92000004,Wales
E14001048,E12000008,South East
E14000953,E12000008,South East
S14000006,S92000003,Scotland
E14000999,E12000009,South West
W07000049,W92000004,Wales
E14001049,E12000005,West Midlands
E14000954,E12000009,South West
S14000007,S92000003,Scotland
E14001000,E12000009,South West
W07000050,W92000004,Wales
E14001050,E12000005,West Midlands
E14000955,E12000008,South East
S14000008,S92000003,Scotland
E14001001,E12000009,South West
W07000051,W92000004,Wales
E14001051,E12000005,West Midlands
E14000956,E12000008,South East
S14000009,S92000003,Scotland
E14001002,E12000007,London
W07000052,W92000004,Wales
E14001052,E12000005,West Midlands
E14000957,E12000006,Eastern
S14000010,S92000003,Scotland
E14001003,E12000009,South West
W07000053,W92000004,Wales
E14001053,E12000002,North West
E14000958,E12000002,North West
S14000011,S92000003,Scotland
E14001004,E12000008,South East
W07000054,W92000004,Wales
E14001054,E12000002,North West
E14000959,E12000008,South East
S14000012,S92000003,Scotland
E14001005,E12000007,London
W07000055,W92000004,Wales
E14001055,E12000008,South East
E14001056,E12000008,South East
E14001057,E12000002,North West
E14001058,E12000005,West Midlands
E14001059,E12000002,North West
E14001060,E12000009,South West
E14001061,E12000003,Yorkshire and The Humber
E14001062,E12000003,Yorkshire and The Humber
N06000001,N07000001,Northern Ireland
N06000002,N07000001,Northern Ireland
N06000003,N07000001,Northern Ireland
N06000004,N07000001,Northern Ireland
N06000005,N07000001,Northern Ireland
N06000006,N07000001,Northern Ireland
N06000007,N07000001,Northern Ireland
N06000008,N07000001,Northern Ireland
N06000009,N07000001,Northern Ireland
N06000010,N07000001,Northern Ireland
N06000011,N07000001,Northern Ireland
N06000012,N07000001,Northern Ireland
N06000013,N07000001,Northern Ireland
N06000014,N07000001,Northern Ireland
N06000015,N07000001,Northern Ireland
N06000016,N07000001,Northern Ireland
N06000017,N07000001,Northern Ireland
S14000013,S92000003,Scotland
E14001006,E12000001,North East
W07000056,W92000004,Wales
S14000014,S92000003,Scotland
E14000960,E12000006,Eastern
E14001007,E12000007,London
S14000015,S92000003,Scotland
E14000961,E12000009,South West
W07000057,W92000004,Wales
E14001008,E12000007,London
S14000016,S92000003,Scotland
E14000962,E12000002,North West
W07000058,W92000004,Wales
E14001009,E12000003,Yorkshire and The Humber
S14000017,S92000003,Scotland
E14000963,E12000002,North West
W07000059,W92000004,Wales
E14001010,E12000002,North West
S14000018,S92000003,Scotland
E14000964,E12000009,South West
W07000060,W92000004,Wales
E14001011,E12000005,West Midlands
S14000019,S92000003,Scotland
E14000965,E12000005,West Midlands
W07000061,W92000004,Wales
E14001012,E12000005,West Midlands
S14000020,S92000003,Scotland
E14000966,E12000005,West Midlands
W07000062,W92000004,Wales
E14001013,E12000007,London
S14000021,S92000003,Scotland
E14000967,E12000002,North West
W07000063,W92000004,Wales
E14001014,E12000001,North East
S14000022,S92000003,Scotland
E14000968,E12000006,Eastern
W07000064,W92000004,Wales
E14001015,E12000008,South East
E14000969,E12000002,North West
S14000023,S92000003,Scotland
E14000970,E12000001,North East
W07000065,W92000004,Wales
E14000971,E12000001,North East
S14000024,S92000003,Scotland
E14001016,E12000005,West Midlands
W07000066,W92000004,Wales
S14000025,S92000003,Scotland
E14000972,E12000005,West Midlands
E14001017,E12000002,North West
W07000067,W92000004,Wales
S14000026,S92000003,Scotland
E14000973,E12000005,West Midlands
E14001018,E12000002,North West
W07000068,W92000004,Wales
S14000027,S92000003,Scotland
E14000974,E12000005,West Midlands
E14001019,E12000005,West Midlands
W07000069,W92000004,Wales
S14000028,S92000003,Scotland
E14000975,E12000005,West Midlands
E14001020,E12000001,North East
W07000070,W92000004,Wales
S14000029,S92000003,Scotland
E14000976,E12000005,West Midlands
E14001021,E12000006,Eastern
W07000071,W92000004,Wales
S14000030,S92000003,Scotland
E14000977,E12000005,West Midlands
E14001022,E12000006,Eastern
W07000072,W92000004,Wales
S14000031,S92000003,Scotland
E14000978,E12000007,London
E14001023,E12000008,South East
W07000073,W92000004,Wales
S14000032,S92000003,Scotland
E14000979,E12000002,North West
E14001024,E12000002,North West
W07000074,W92000004,Wales
S14000033,S92000003,Scotland
E14001025,E12000004,East Midlands
W07000075,W92000004,Wales
S14000034,S92000003,Scotland
E14001026,E12000009,South West
W07000076,W92000004,Wales
S14000035,S92000003,Scotland
E14001027,E12000006,Eastern
W07000077,W92000004,Wales
S14000036,S92000003,Scotland
E14001028,E12000003,Yorkshire and The Humber
W07000078,W92000004,Wales
S14000037,S92000003,Scotland
E14001029,E12000005,West Midlands
W07000079,W92000004,Wales
S14000038,S92000003,Scotland
W07000080,W92000004,Wales
S14000039,S92000003,Scotland
S14000040,S92000003,Scotland
S14000041,S92000003,Scotland
S14000042,S92000003,Scotland
S14000043,S92000003,Scotland
S14000044,S92000003,Scotland
S14000045,S92000003,Scotland
S14000046,S92000003,Scotland
S14000047,S92000003,Scotland
S14000048,S92000003,Scotland
S14000049,S92000003,Scotland
